election_key,election_year,election_date,municipality_id,municipality_name,province,region,geometry_id,territorial_mode,territorial_status,turnout_pct,electors,voters,valid_votes,total_votes,first_party_std,first_party_share,second_party_std,second_party_share,first_second_margin,dominant_block,comparability_note,completeness_flag
assemblea_costituente_1946,1946,1946-06-02,centrisola-bergamo,Centrisola,Bergamo,Lombardia,,historical,observed_opendata_zip,96.37735849056604,1325.0,1277.0,1166,1277,DC,63.37907375643225,Psiup,15.608919382504288,47.77015437392796,centro,official_eligendo_opendata_zip|geometry_join_unresolved|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016071,Cerete,Bergamo,Lombardia,016071,historical,observed_opendata_zip,86.3517060367454,762.0,658.0,594,658,DC,53.535353535353536,Psiup,23.232323232323232,30.303030303030305,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016073,Chiuduno,Bergamo,Lombardia,016073,historical,observed_opendata_zip,94.04832056570417,1697.0,1596.0,1490,1596,DC,46.1744966442953,Psiup,30.335570469798657,15.838926174496645,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016074,Cisano Bergamasco,Bergamo,Lombardia,016074,historical,observed_opendata_zip,95.45977011494253,1740.0,1661.0,1549,1661,DC,53.06649451258877,Psiup,31.116849580374435,21.949644932214333,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016075,Ciserano,Bergamo,Lombardia,016075,historical,observed_opendata_zip,92.86321155480034,1177.0,1093.0,970,1093,DC,57.113402061855666,Psiup,22.37113402061856,34.74226804123711,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016076,Cividate al Piano,Bergamo,Lombardia,016076,historical,observed_opendata_zip,95.56517036235803,1849.0,1767.0,1635,1767,DC,54.556574923547394,Psiup,30.091743119266056,24.46483180428134,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016077,Clusone,Bergamo,Lombardia,016077,historical,observed_opendata_zip,89.12669126691267,4065.0,3623.0,3381,3623,DC,60.72167997633836,Psiup,20.851818988464952,39.86986098787341,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016079,Cologno al Serio,Bergamo,Lombardia,016079,historical,observed_opendata_zip,86.19014573213046,2882.0,2484.0,2232,2484,DC,55.7347670250896,Psiup,26.38888888888889,29.345878136200714,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016080,Colzate,Bergamo,Lombardia,016080,historical,observed_opendata_zip,93.62670713201821,659.0,617.0,550,617,DC,55.45454545454545,Psiup,12.727272727272727,42.72727272727273,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016081,Comun Nuovo,Bergamo,Lombardia,016081,historical,observed_opendata_zip,97.31308411214953,856.0,833.0,798,833,DC,77.5689223057644,Psiup,16.165413533834585,61.40350877192982,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016082,Corna Imagna,Bergamo,Lombardia,016082,historical,observed_opendata_zip,83.63171355498721,391.0,327.0,282,327,DC,68.43971631205675,Psiup,12.76595744680851,55.67375886524823,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016083,Cortenuova,Bergamo,Lombardia,016083,historical,observed_opendata_zip,94.22283356258598,727.0,685.0,627,685,DC,55.980861244019145,Psiup,22.48803827751196,33.492822966507184,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,costa-monticelli-bergamo,Costa Monticelli,Bergamo,Lombardia,,historical,observed_opendata_zip,95.1171875,1024.0,974.0,912,974,DC,63.925438596491226,Psiup,23.793859649122805,40.131578947368425,centro,official_eligendo_opendata_zip|geometry_join_unresolved|party_rows_checked,clean_ingest_party_results_checked
assemblea_costituente_1946,1946,1946-06-02,016085,Costa Valle Imagna,Bergamo,Lombardia,016085,historical,observed_opendata_zip,90.35222052067381,653.0,590.0,519,590,DC,48.94026974951831,Un.Democ.Nazionale,26.97495183044316,21.965317919075147,centro,official_eligendo_opendata_zip|party_rows_checked,clean_ingest_party_results_checked
